Labour force characteristics,,Population 6,Labour force 7,Employment 8,Unemployment 9,Percent,Unemployment rate 10,Participation rate 11,Employment rate 12
Jan-19,Persons in thousands,"5,311.20","3,530.60","3,304.10",226.6,,6.4,66.5,62.2
Feb-19,,"5,316.30","3,571.10","3,345.80",225.4,,6.3,67.2,62.9
Mar-19,,"5,322.80","3,593.50","3,351.90",241.7,,6.7,67.5,63
Apr-19,,"5,331.40","3,595.30","3,364.30",231,,6.4,67.4,63.1
May-19,,"5,338.80","3,568.00","3,369.40",198.7,,5.6,66.8,63.1
Jun-19,,"5,347.40","3,565.40","3,361.50",203.9,,5.7,66.7,62.9
Jul-19,,"5,359.70","3,598.90","3,386.40",212.5,,5.9,67.1,63.2
Aug-19,,"5,369.30","3,601.20","3,395.80",205.4,,5.7,67.1,63.2
Sep-19,,"5,380.00","3,616.40","3,424.00",192.4,,5.3,67.2,63.6
Oct-19,,"5,389.30","3,594.70","3,393.70",201,,5.6,66.7,63
Nov-19,,"5,397.30","3,623.50","3,424.50",199,,5.5,67.1,63.4
Dec-19,,"5,404.90","3,625.70","3,438.30",187.4,,5.2,67.1,63.6
Jan-20,,"5,412.50","3,653.80","3,460.00",193.8,,5.3,67.5,63.9
Feb-20,,"5,420.80","3,638.70","3,432.50",206.2,,5.7,67.1,63.3
Mar-20,,"5,430.00","3,494.00","3,192.70",301.3,,8.6,64.3,58.8
Apr-20,,"5,435.70","3,282.70","2,877.70",404.9,,12.3,60.4,52.9
May-20,,"5,440.80","3,340.90","2,794.50",546.3,,16.4,61.4,51.4
Jun-20,,"5,447.40","3,490.50","2,995.00",495.6,,14.2,64.1,55
Jul-20,,"5,452.50","3,590.00","3,054.90",535.2,,14.9,65.8,56
Aug-20,,"5,456.20","3,637.40","3,193.70",443.7,,12.2,66.7,58.5
Sep-20,,"5,459.80","3,728.30","3,317.20",411.1,,11,68.3,60.8
Oct-20,,"5,461.30","3,759.90","3,371.40",388.5,,10.3,68.8,61.7
Nov-20,,"5,462.10","3,737.00","3,365.30",371.7,,9.9,68.4,61.6
Dec-20,,"5,461.30","3,719.70","3,296.90",422.8,,11.4,68.1,60.4
Jan-21,,"5,460.10","3,654.50","3,208.50",446,,12.2,66.9,58.8
Feb-21,,"5,459.60","3,642.60","3,230.80",411.8,,11.3,66.7,59.2
Mar-21,,"5,458.50","3,604.40","3,282.40",321.9,,8.9,66,60.1
Apr-21,,"5,456.90","3,594.50","3,228.30",366.2,,10.2,65.9,59.2
May-21,,"5,455.10","3,578.80","3,190.00",388.8,,10.9,65.6,58.5
Jun-21,,"5,456.90","3,632.50","3,273.90",358.5,,9.9,66.6,60
Jul-21,,"5,460.00","3,678.50","3,337.20",341.3,,9.3,67.4,61.1
Aug-21,,"5,464.80","3,769.00","3,436.70",332.3,,8.8,69,62.9
Sep-21,,"5,469.10","3,781.60","3,466.70",314.9,,8.3,69.1,63.4
Oct-21,,"5,475.00","3,778.40","3,492.00",286.4,,7.6,69,63.8
Nov-21,,"5,481.90","3,815.50","3,538.20",277.3,,7.3,69.6,64.5
Dec-21,,"5,488.90","3,834.20","3,554.50",279.6,,7.3,69.9,64.8
Jan-22,,"5,494.60","3,759.00","3,427.90",331.1,,8.8,68.4,62.4
Feb-22,,"5,500.00","3,769.40","3,512.80",256.6,,6.8,68.5,63.9
Mar-22,,"5,505.30","3,738.20","3,504.30",233.9,,6.3,67.9,63.7
Apr-22,,"5,510.70","3,751.70","3,507.50",244.1,,6.5,68.1,63.6
May-22,,"5,516.70","3,719.30","3,500.80",218.4,,5.9,67.4,63.5
Jun-22,,"5,523.60","3,719.00","3,504.60",214.3,,5.8,67.3,63.4
Jul-22,,"5,531.80","3,720.90","3,511.80",209.1,,5.6,67.3,63.5
Aug-22,,"5,541.00","3,741.60","3,523.30",218.3,,5.8,67.5,63.6
Sep-22,,"5,550.80","3,705.20","3,478.40",226.8,,6.1,66.8,62.7
Oct-22,,"5,562.00","3,737.00","3,497.00",240,,6.4,67.2,62.9
Nov-22,,"5,572.60","3,748.20","3,502.80",245.4,,6.5,67.3,62.9
Dec-22,,"5,583.00","3,734.50","3,513.10",221.4,,5.9,66.9,62.9
Jan-23,,"5,596.20","3,777.60","3,547.80",229.7,,6.1,67.5,63.4
Feb-23,,"5,612.60","3,800.50","3,586.30",214.2,,5.6,67.7,63.9
Mar-23,,"5,629.50","3,832.40","3,612.50",219.9,,5.7,68.1,64.2
Apr-23,,"5,645.30","3,817.00","3,604.40",212.7,,5.6,67.6,63.8
May-23,,"5,663.30","3,850.60","3,610.70",239.9,,6.2,68,63.8
Jun-23,,"5,683.80","3,891.60","3,644.10",247.5,,6.4,68.5,64.1
Jul-23,,"5,704.80","3,892.00","3,639.80",252.2,,6.5,68.2,63.8
Aug-23,,"5,727.30","3,872.70","3,617.60",255.1,,6.6,67.6,63.2
Sep-23,,"5,747.80","3,900.60","3,644.60",256,,6.6,67.9,63.4
Oct-23,,"5,770.10","3,894.50","3,626.70",267.8,,6.9,67.5,62.9
Nov-23,,"5,792.20","3,891.80","3,629.60",262.2,,6.7,67.2,62.7
Dec-23,,"5,815.00","3,892.80","3,622.30",270.5,,6.9,66.9,62.3
Jan-24,,"5,839.60","3,904.50","3,623.10",281.3,,7.2,66.9,62
Feb-24,,"5,863.20","3,928.60","3,634.70",293.9,,7.5,67,62
Mar-24,,"5,885.70","3,958.80","3,648.80",310.1,,7.8,67.3,62
Apr-24,,"5,910.80","3,974.10","3,661.90",312.2,,7.9,67.2,62
May-24,,"5,934.80","3,991.80","3,678.30",313.5,,7.9,67.3,62
Jun-24,,"5,956.80","3,967.90","3,664.10",303.7,,7.7,66.6,61.5
Jul-24,,"5,980.60","3,971.50","3,665.80",305.7,,7.7,66.4,61.3
Aug-24,,"6,001.90","4,027.90","3,676.20",351.7,,8.7,67.1,61.3
Sep-24,,"6,021.10","3,992.60","3,683.00",309.6,,7.8,66.3,61.2
Oct-24,,"6,036.60","4,001.70","3,696.80",304.9,,7.6,66.3,61.2
Nov-24,,"6,048.70","4,053.50","3,686.70",366.8,,9,67,61
Dec-24,,"6,060.40","4,058.00","3,711.20",346.8,,8.5,67,61.2
Jan-25,,"6,070.90","4,100.10","3,742.70",357.4,,8.7,67.5,61.6
Feb-25,,"6,079.70","4,113.60","3,763.40",350.2,,8.5,67.7,61.9
Mar-25,,"6,089.20","4,091.30","3,732.80",358.4,,8.8,67.2,61.3
